  
       XFOIL         Version 6.99
  
 Calculated polar for: n2415                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
 -20.000  -1.0576   0.11878   0.09362  -0.0283   1.0000   0.0222   1.0000  96.5026
 -19.900  -1.0622   0.11649   0.09124  -0.0295   1.0000   0.0223   1.0000  96.5248
 -19.800  -1.0682   0.11399   0.08864  -0.0309   1.0000   0.0223   1.0000  96.5446
 -19.700  -1.0749   0.11136   0.08595  -0.0323   1.0000   0.0224   1.0000  96.5631
 -19.600  -1.0801   0.10899   0.08359  -0.0336   1.0000   0.0225   1.0000  96.5839
 -19.500  -1.0867   0.10642   0.08104  -0.0350   1.0000   0.0225   1.0000  96.6022
 -19.400  -1.0940   0.10373   0.07839  -0.0365   1.0000   0.0226   1.0000  96.6187
 -19.300  -1.1002   0.10127   0.07603  -0.0378   1.0000   0.0227   1.0000  96.6373
 -19.200  -1.1082   0.09852   0.07339  -0.0393   1.0000   0.0227   1.0000  96.6522
 -19.100  -1.1154   0.09592   0.07093  -0.0406   1.0000   0.0228   1.0000  96.6682
 -19.000  -1.1230   0.09326   0.06844  -0.0421   1.0000   0.0228   1.0000  96.6832
 -18.900  -1.1315   0.09048   0.06586  -0.0435   1.0000   0.0228   1.0000  96.6962
 -18.800  -1.1394   0.08783   0.06343  -0.0449   1.0000   0.0229   1.0000  96.7099
 -18.700  -1.1485   0.08502   0.06087  -0.0464   1.0000   0.0229   1.0000  96.7211
 -18.600  -1.1570   0.08231   0.05843  -0.0479   1.0000   0.0230   1.0000  96.7331
 -18.500  -1.1660   0.07955   0.05596  -0.0494   1.0000   0.0230   1.0000  96.7439
 -18.400  -1.1754   0.07674   0.05347  -0.0508   1.0000   0.0230   1.0000  96.7536
 -18.300  -1.1841   0.07409   0.05114  -0.0522   1.0000   0.0231   1.0000  96.7644
 -18.200  -1.1934   0.07137   0.04877  -0.0537   1.0000   0.0231   1.0000  96.7739
 -18.100  -1.2025   0.06866   0.04643  -0.0551   1.0000   0.0231   1.0000  96.7833
 -18.000  -1.2108   0.06608   0.04422  -0.0565   1.0000   0.0232   1.0000  96.7941
